Product url,Brand,Model,Type,Price,Capacity - mAh,EnergyPerCell - Watts,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/rechargeable/li-ion/kp-imr18350-750.html,Keeppower,UH1835,TBA,3.95,700,2.52,8.00,15,21,700.00,59.25,0.04,Li-ion,3.6,In stock,1567.46,No offers,3.95,113.78,59.25,1567.46
https://eu.nkon.nl/rechargeable/li-ion/keeppower-imr-18350-1200mah-10a.html,Keeppower,P1835C2,TBA,6.75,1100,3.96,10.00,15,26,"1,100.00",101.25,0.06,Li-ion,3.6,In stock,1704.55,No offers,6.75,144.41,101.25,1704.55
https://eu.nkon.nl/rechargeable/li-ion/lir2450-knoopcel-120mah.html,Unbranded,LIR2450,TBA,2.75,120,0.43194659999999996,Not set,15,6,24.00,41.25,0.01,Li-ion,3.599555,In stock,6366.53,Buy 1000 times for,0.85,68.27,12.75,1967.84
https://eu.nkon.nl/rechargeable/li-ion/xtar-16340-650mah-protected.html,Xtar,16340 / 123A,TBA,4.95,600,2.16,1.20,15,19,1.20,74.25,0.03,Li-ion,3.6,In stock,2291.67,Buy 100 times for,4.45,107.79,66.75,2060.19
https://eu.nkon.nl/rechargeable/li-ion/ml2032.html,Maxell,ML2032,TBA,2.95,65,0.23397107500000003,Not set,15,3,20.00,44.25,0.0,Li-ion,3.599555,In stock,12608.4,No offers,2.95,73.96,44.25,12608.4
https://eu.nkon.nl/rechargeable/li-ion/maxell-ml2032-1hfn.html,Maxell,ML2032-1HFN,TBA,3.95,65,0.23397107500000003,Not set,15,3,20.00,59.25,0.0,Li-ion,3.599555,In stock,16882.43,No offers,3.95,73.96,59.25,16882.43
https://eu.nkon.nl/rechargeable/li-ion/panasonic-vl3032-1f2-z-tag.html,Panasonic,VL3032-1F2,TBA,6.25,100,0.35995550000000004,Not set,15,7,30.00,93.75,0.01,Li-ion,3.599555,In stock,17363.26,No offers,6.25,48.76,93.75,17363.26
https://eu.nkon.nl/rechargeable/li-ion/maxell-ml2016-3v.html,Maxell,ML2016,TBA,3.5,25,0.08998887500000001,Not set,15,2,20.00,52.5,0.0,Li-ion,3.599555,In stock,38893.7,Buy 50 times for,2.75,42.67,41.25,30559.33
https://eu.nkon.nl/rechargeable/li-ion/panasonic-vl2020-20mah.html,Panasonic,VL2020-1VCE,TBA,2.75,20,0.0719911,Not set,15,3,2.00,41.25,0.0,Li-ion,3.599555,In stock,38199.17,No offers,2.75,22.76,41.25,38199.17
https://eu.nkon.nl/rechargeable/li-ion/panasonic-vl2020-wr-met-stekker.html,Panasonic,VL2020-WR,TBA,5.95,20,0.0719911,Not set,15,4,20.00,89.25,0.0,Li-ion,3.599555,In stock,82649.11,No offers,5.95,17.07,89.25,82649.11
