Brand,WeightGm,Price,Bulk Prices,LC KwH,debug,Voltage,CapacityLabelText,Capacity,MinCapacity_mAh,chemistry,Size,Battery Type,
Keeppower,70,13.45,10 @ 12.95 ,719444.44,1,3.6V,Typ. capacity - mAh,5000,4950,Li-ion,21700,Button top,€719.44
Keeppower,55,9.45,10 @ 9.25  100 @ 7.75 ,742337.16,2,3.6V,Typ. capacity - mAh,2900,2850,Li-ion,18650,Button top,€742.34
Keeppower,53,7.25,10 @ 6.95 ,742521.37,1,3.6V,Typ. capacity - mAh,2600,2550,Li-ion,18650,Button top,€742.52
Keeppower,50,11.45,10 @ 10.45  90 @ 9.45 ,750000,2,3.6V,Typ. capacity - mAh,3500,3450,Li-ion,18650,Flat top,€750.00
Nitecore,48,7.75,10 @ 7.45  200 @ 6.25 ,754830.92,2,3.6V,Typ. capacity - mAh,2300,2250,Li-ion,18650,Button top,€754.83
Molicel,51,7.49,No Bulk price,770576.13,0,3.6V,Typ. capacity - mAh,2700,2800,Li-ion,18650,Button top,€770.58
Everactive,92,8.95,No Bulk price,801971.33,0,3.6V,Typ. capacity - mAh,3100,3050,Li-ion,18650,"Button top, USB",€801.97
Keeppower,48,10.95,10 @ 9.95 ,812908.5,1,3.6V,Typ. capacity - mAh,3400,3350,Li-ion,18650,Button top,€812.91
Nitecore,48,9.95,No Bulk price,812908.5,0,3.6V,Typ. capacity - mAh,3400,3350,Li-ion,18650,"Button top, USB",€812.91
Nitecore,73,17.95,10 @ 16.95  20 @ 16.45  60 @ 14.95 ,830555.56,3,3.6V,Typ. capacity - mAh,5000,4950,Li-ion,21700,Button top,€830.56
Xtar,73,14.95,No Bulk price,830555.56,0,3.6V,Typ. capacity - mAh,5000,4950,Li-ion,21700,Button top,€830.56
Lithium Werks (A123 systems),76,8.95,10 @ 8.45  50 @ 7.95  100 @ 7.75  200 @ 7.25 ,871394.23,4,3.2V,Typ. capacity - mAh,2600,2500,LIFEPO4,26650,Flat top,€871.39
Keeppower,29,4.95,10 @ 4.45  100 @ 4.25  200 @ 3.95 ,914351.85,3,3.6V,Typ. capacity - mAh,1200,1150,Li-ion,17500,notFound,€914.35
Keeppower,41,8.75,10 @ 8.45 ,938888.89,1,3.6V,Typ. capacity - mAh,2500,2450,Li-ion,16650,Button top,€938.89
Sony,49,8.95,No Bulk price,956196.58,0,3.6V,Typ. capacity - mAh,2600,2500,Li-ion,18650,Button top,€956.20
Xtar,51,13.95,10 @ 12.95  20 @ 12.45 ,988095.24,2,3.6V,Typ. capacity - mAh,3500,3450,Li-ion,18650,Button top,€988.10
Keeppower,28,4.95,10 @ 4.75  100 @ 4.25  200 @ 3.95 ,997474.75,3,3.6V,Typ. capacity - mAh,1100,950,Li-ion,14650,notFound,€997.47
Nitecore,50,11.45,10 @ 10.95  100 @ 9.45 ,1009615.38,2,3.6V,Typ. capacity - mAh,2600,2550,Li-ion,18650,Button top,"€1,009.62"
Vapcell,25,4.45,10 @ 4.25 ,1026570.05,1,3.6V,Typ. capacity - mAh,1150,1100,Li-ion,18350,Flat top,"€1,026.57"
